Name,Department,Rating,Difficulty,Number of Reviews,Would Take Again
Daniel O'Neil,Professor in the East Asian Studies department at University of California Berkeley,4.8,2.5,8,100%
Morris Hirsch,Professor in the Mathematics department at University of California Berkeley,4,4,1,100%
Debarati Sanyal,Professor in the French department at University of California Berkeley,4,3.3,16,75%
Vesna Rodic,Professor in the French department at University of California Berkeley,5,2.9,9,100%
David Rich,Professor in the Mechanical Engineering department at University of California Berkeley,2.1,3.6,15,30%
Ashton Wesner,Professor in the History department at University of California Berkeley,2.7,3.7,3,34%
Karen Moller,Professor in the Scandinavian department at University of California Berkeley,4.5,1.8,8,75%
Laura Tyson,Professor in the Business Administration department at University of California Berkeley,3.3,3.3,3,N/A
Kaitlin Forcier,Professor in the Film department at University of California Berkeley,5,2,1,100%
Thomas McCullough,Professor in the Business Administration department at University of California Berkeley,3.6,2.7,7,34%
Liwei Lin,Professor in the Engineering department at University of California Berkeley,3.9,3.2,8,80%
Ann Swidler,Professor in the Sociology department at University of California Berkeley,4.4,2.4,61,88%
Sarah Gold McBride,Professor in the American Studies department at University of California Berkeley,5,2.9,11,100%
Kimiko Ryokai,Professor in the International Studies department at University of California Berkeley,N/A,N/A,,N/A
Raul Coronado,Professor in the Ethnic Studies department at University of California Berkeley,3.5,3.4,9,72%
Partow Imani,Professor in the Statistics department at University of California Berkeley,1.3,4.3,3,0%
Jessica Kaiser,Professor in the Near Eastern Studies department at University of California Berkeley,N/A,N/A,,N/A
Christina Romer,Professor in the Economics department at University of California Berkeley,4.8,3.9,79,87%
Samuel Lucas,Professor in the Sociology department at University of California Berkeley,2,3,33,67%
Emily MacKil,Professor in the History department at University of California Berkeley,4.3,3.4,25,60%
Raymond Telles,Professor in the Spanish department at University of California Berkeley,5,2.5,4,100%
Bill Chung,Professor in the Data Science department at University of California Berkeley,N/A,N/A,,N/A
Margot Szarke,Professor in the Art History department at University of California Berkeley,5,2.5,10,100%
Deibi Sibrian,Professor in the Environmental Science department at University of California Berkeley,5,2,2,100%
Karenjot Bhangoo Randhawa,Professor in the Peace & Conflict Studies department at University of California Berkeley,4.4,2.9,31,83%
Gholam-Reza Ghahramani,Professor in the Near Eastern Studies department at University of California Berkeley,5,2.1,9,100%
Kijoo Ko,Professor in the Languages department at University of California Berkeley,5,2.8,3,100%
Jose Vazquez-Medina,Professor in the Biology department at University of California Berkeley,4.5,2.1,7,100%
Zehlia Babaci-Wilhite,Professor in the Education department at University of California Berkeley,4.5,3.1,20,85%
Michaela Mattes,Professor in the Political Science department at University of California Berkeley,2.8,4.3,6,34%
Peter Jenks,Professor in the Linguistics department at University of California Berkeley,4.9,3.8,21,100%
Penny Edwards,Professor in the Asian Studies department at University of California Berkeley,3.8,2.5,7,67%
Caitlin Daniel,Professor in the Sociology department at University of California Berkeley,5,3.3,5,100%
Kim Shelton,Professor in the Classics department at University of California Berkeley,4,3.8,30,55%
Brian Baumann,Professor in the East Asian Studies department at University of California Berkeley,4.4,3,16,100%
Gary Wren,Professor in the Interdisciplinary Studies department at University of California Berkeley,3.6,2.9,48,34%
Libby Kao,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
Laura Waller,Professor in the Electrical Engineering department at University of California Berkeley,4.9,3.6,4,100%
Hannah Zeavin,Professor in the History department at University of California Berkeley,4.4,2.8,7,100%
Ramona Naddaff,Professor in the Rhetoric department at University of California Berkeley,5,3,1,100%
Lizeng Zhang,Professor in the Industrial Engineering department at University of California Berkeley,N/A,N/A,,N/A
Rhiannon Welch,Professor in the Italian department at University of California Berkeley,1,2,1,N/A
Ziad Obermeyer,Professor in the Public Health department at University of California Berkeley,3,5,1,0%
Jill Berrick,Professor in the Social Welfare department at University of California Berkeley,3.8,4,8,58%
Martha Olney,Professor in the Economics department at University of California Berkeley,4.4,3.4,172,89%
Claudia Ostertag,Professor in the Civil & Environmental Engineering department at University of California Berkeley,5,3,1,100%
David Wiese,Professor in the English department at University of California Berkeley,5,3.6,14,100%
Steven Hayward,Professor in the Political Science department at University of California Berkeley,2.5,3,8,38%
Reza Alam,Professor in the Mechanical Engineering department at University of California Berkeley,4.1,3.9,16,89%
Kathleen McCarthy,Professor in the Classics department at University of California Berkeley,4,3.5,10,100%
Khalilah Beal,Professor in the Mathematics department at University of California Berkeley,3.6,3.9,15,65%
Gerard Marriott,Professor in the Bioengineering department at University of California Berkeley,4,2,1,100%
Shyam Parekh,Professor in the Computer Science department at University of California Berkeley,2.4,4.4,15,34%
Jonathan Sheehan,Professor in the History department at University of California Berkeley,4.8,3.8,19,100%
McFeely Goodman,Professor in the Mathematics department at University of California Berkeley,5,2.5,2,100%
Sarah Song,Professor in the Legal Studies department at University of California Berkeley,4.2,3.1,35,82%
Giuliana Perco,Professor in the Italian department at University of California Berkeley,5,3,3,100%
Richard Kim,Professor in the Philosophy department at University of California Berkeley,4.8,3,9,100%
Luis Gonzalez-Reimann,Professor in the Religious Studies department at University of California Berkeley,4.7,1.5,13,100%
Alexandra Michaud,Professor in the Slavic Languages amp Literatures department at University of California Berkeley,N/A,N/A,,N/A
Sabrina Agarwal,Professor in the Anthropology department at University of California Berkeley,3.2,2.9,54,88%
Jan Engelmann,Professor in the Psychology department at University of California Berkeley,3.9,2.6,6,50%
Mark Csikszentmihalyi,Professor in the Asian Studies department at University of California Berkeley,5,2.9,6,100%
Joseph De Quattro,Professor in the Writing department at University of California Berkeley,5,2.5,26,100%
Michael Anderson,Professor in the Economics department at University of California Berkeley,3.9,2.6,5,100%
Jordan Ruyle,Professor in the English department at University of California Berkeley,5,3.3,19,95%
Sonia Bishop,Professor in the Psychology department at University of California Berkeley,3.5,3.2,13,75%
Irina Conboy,Professor in the Bioengineering department at University of California Berkeley,3.3,4.3,14,75%
Hayley Lam,Professor in the Engineering department at University of California Berkeley,5,1.8,5,100%
Emily West,Professor in the Film department at University of California Berkeley,3.9,5,33,100%
Cruz Carlos,Professor in the Civil amp Environmental Engineering department at University of California Berkeley,5,3,5,100%
Francesco Borrelli,Professor in the Mechanical Engineering department at University of California Berkeley,4.9,4.1,4,100%
Lauren Kroiz,Professor in the Art History department at University of California Berkeley,4.2,2.2,4,100%
Jason Price,Professor in the Anthropology department at University of California Berkeley,5,1,1,100%
Nitash Balsara,Professor in the Chemical Engineering department at University of California Berkeley,4,4,2,100%
Alexis Bell,Professor in the Chemical Engineering department at University of California Berkeley,4,4,1,100%
Mario Telo,Professor in the Classics department at University of California Berkeley,5,2.5,24,96%
Rachel Schmale,Professor in the Psychology department at University of California Berkeley,4.9,2.9,8,100%
Hannah Michell,Professor in the Asian Studies department at University of California Berkeley,3.5,3.4,9,72%
Pamela Fox,Professor in the Computer Science department at University of California Berkeley,4.8,4.1,22,85%
Edward Evenson,Professor in the History department at University of California Berkeley,2,2,1,100%
Daniel Blanton,Professor in the English department at University of California Berkeley,4.1,3,26,100%
Stephanie Jones-Rogers,Professor in the History department at University of California Berkeley,3.9,2.8,26,64%
Lucia Jacobs,Professor in the Psychology department at University of California Berkeley,3.3,2.7,12,67%
Benson Au,Professor in the Statistics department at University of California Berkeley,4,4.6,6,80%
Robert Ashmore,Professor in the Chinese department at University of California Berkeley,3.3,4,30,50%
Robert Strand,Professor in the Business Administration department at University of California Berkeley,5,2.5,2,100%
Joanna Picciotto,Professor in the English department at University of California Berkeley,4.8,3.4,32,82%
Ramya Janandharan,Professor in the East Asian Studies department at University of California Berkeley,4.8,1.8,3,100%
Mike Leong,Professor in the Mathematics department at University of California Berkeley,4.8,3.1,11,100%
Sanjay Hukku,Professor in the Film department at University of California Berkeley,3.2,3.3,3,N/A
John Dougherty,Professor in the Ethnic Studies department at University of California Berkeley,5,2.8,17,100%
Hillary Falb,Professor in the History department at University of California Berkeley,5,4,1,N/A
Brad Erickson,Professor in the Anthropology department at University of California Berkeley,3.1,2.7,6,N/A
Marc Boucai,Professor in the Theatre & Dance department at University of California Berkeley,4.5,3.5,4,N/A
Kinch Hoekstra,Professor in the Political Science department at University of California Berkeley,5,4,20,93%
Michael Crommie,Professor in the Physics department at University of California Berkeley,4.5,2.9,19,91%
Juan Nico Pereda,Professor in the Film department at University of California Berkeley,2,2,1,0%
Colleen Lye,Professor in the Arts & Humanities department at University of California Berkeley,N/A,N/A,,N/A
Desmond Jagmohan,Professor in the Political Science department at University of California Berkeley,4.5,4.1,26,74%
Brandi Catanese,Professor in the Theatre & Dance department at University of California Berkeley,4.5,3.3,37,100%
Amy Pickering,Professor in the Civil amp Environmental Engineering department at University of California Berkeley,1,2,1,0%
Thomas Scanlon,Professor in the Mathematics department at University of California Berkeley,3.4,3.1,91,69%
Richard Grijalva,Professor in the Rhetoric department at University of California Berkeley,2.9,3.3,6,60%
Puck Engman,Professor in the History department at University of California Berkeley,4,3.3,7,86%
Clancy Wilmott,Professor in the Geography department at University of California Berkeley,4,2.8,7,100%
Alan Yeh,Professor in the French department at University of California Berkeley,5,3,1,100%
Kristin Primus,Professor in the Philosophy department at University of California Berkeley,4.6,4.1,22,90%
Anna Eng,Professor in the Women's Studies department at University of California Berkeley,5,3,30,100%
Biwen Zhang,Professor in the Business Administration department at University of California Berkeley,4.9,3,20,80%
Linda Wilbrecht,Professor in the Psychology department at University of California Berkeley,3.6,4,8,60%
Sara Hinkley,Professor in the City  Regional Planning department at University of California Berkeley,3.2,3.4,5,60%
Ming Hsu,Professor in the Business Administration department at University of California Berkeley,3.3,3.3,12,75%
Kyoko Takahara,Professor in the Japanese department at University of California Berkeley,3.8,4.4,3,100%
Scott Carson,Professor in the Economics department at University of California Berkeley,3.2,3.4,35,53%
Patrick Kirch,Professor in the Anthropology department at University of California Berkeley,4.3,2.8,10,N/A
David Bogy,Professor in the Mechanical Engineering department at University of California Berkeley,3,3.3,3,100%
John Kaiser,Professor in the Sociology department at University of California Berkeley,5,2.9,19,100%
Silvia Bunge,Professor in the Psychology department at University of California Berkeley,2.9,3.5,28,15%
Theresa Honein,Professor in the Mathematics department at University of California Berkeley,4.4,3.9,5,80%
Johann Frick,Professor in the Philosophy department at University of California Berkeley,4.5,3.5,2,100%
David Card,Professor in the Economics department at University of California Berkeley,4.2,3.5,12,100%
Celeste Kidd,Professor in the Psychology department at University of California Berkeley,3.3,3,6,100%
Jason Bircea,Professor in the English department at University of California Berkeley,5,3,1,100%
Park Sinchaisri,Professor in the Business Administration department at University of California Berkeley,5,3.6,4,100%
Joanna Reed,Professor in the Sociology department at University of California Berkeley,4.3,3,41,68%
Dan Golub,Professor in the Education department at University of California Berkeley,1,3,1,0%
Shari Huhndorf,Professor in the Ethnic Studies department at University of California Berkeley,N/A,N/A,,N/A
Adrian Montufar,Professor in the Music department at University of California Berkeley,3,4,1,N/A
Robert Kayen,Professor in the Civil Engineering department at University of California Berkeley,5,2.9,12,100%
Brian Mirea,Professor in the Anthropology department at University of California Berkeley,4.5,3,2,100%
Eric Neuscamman,Professor in the Chemistry department at University of California Berkeley,3.8,4,46,81%
Tim Markowitz,Professor in the Environ. Sci. Policy & Mgmt. department at University of California Berkeley,3.9,3,15,84%
Wick Haxton,Professor in the Physics department at University of California Berkeley,N/A,N/A,,N/A
Ana Arias,Professor in the Electrical Engineering department at University of California Berkeley,1.6,3.5,11,34%
Dan Acland,Professor in the Economics department at University of California Berkeley,2.3,4.5,170,46%
Jasper Rine,Professor in the Biology department at University of California Berkeley,2.9,3.9,72,17%
Lisa Gold,Professor in the Music department at University of California Berkeley,4.4,2,3,100%
Jennifer Skeem,Professor in the Social Welfare department at University of California Berkeley,2,5,1,N/A
Kwabena Bediako,Professor in the Chemistry department at University of California Berkeley,5,3.8,17,100%
Owen Barrett,Professor in the Mathematics department at University of California Berkeley,N/A,N/A,,N/A
Abhishek Kaicker,Professor in the History department at University of California Berkeley,4.6,3.3,9,100%
Ali Niknejad,Professor in the Electrical Engineering department at University of California Berkeley,3.8,3.9,13,100%
Margaret Salifu,Professor in the Writing department at University of California Berkeley,5,3,15,100%
Madeleine Kresin,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
Louis Wong,Professor in the MolecularCellular Biology department at University of California Berkeley,N/A,N/A,,N/A
Katherine Bondy,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
William Burton,Professor in the French department at University of California Berkeley,5,2.6,5,100%
Mark Danner,Professor in the Journalism department at University of California Berkeley,5,3.4,3,100%
Khalilah Beal-Uribe,Professor in the Mathematics department at University of California Berkeley,5,1,1,100%
Christian Paiz,Professor in the Ethnic Studies department at University of California Berkeley,4.1,3,9,67%
Perry De Valpine,Professor in the Environ. Sci. Policy & Mgmt. department at University of California Berkeley,2.9,3.4,6,50%
James Demmel,Professor in the Mathematics department at University of California Berkeley,2.3,3.8,23,60%
Catherine Bordel,Professor in the Physics department at University of California Berkeley,4.5,4.3,51,90%
Christopher Kutz,Professor in the Law department at University of California Berkeley,4,3.4,30,67%
Steven Fish,Professor in the Political Science department at University of California Berkeley,4.9,3.4,120,86%
Ameer Loggins,Professor in the African-American Studies department at University of California Berkeley,5,1.5,2,100%
Mark Leinauer,Professor in the Law department at University of California Berkeley,3.3,3.1,22,50%
Teresa Head-Gordon,Professor in the Bioengineering department at University of California Berkeley,2.5,4,51,35%
Susanna Elm,Professor in the Religious Studies department at University of California Berkeley,4.1,3.5,18,100%
Matthew Berry,Professor in the History department at University of California Berkeley,4.6,3.4,26,92%
Keith Plymale,Professor in the Architecture department at University of California Berkeley,4.5,3.2,46,100%
Matthew Parker,Professor in the English department at University of California Berkeley,4.6,2.5,9,100%
Alan Alan Ross,Professor in the Business Administration department at University of California Berkeley,4.4,3,13,100%
Celeste Langan,Professor in the English department at University of California Berkeley,3.4,3.6,45,70%
Joan McQuade,Professor in the English department at University of California Berkeley,5,1,4,100%
Conradine Wong,Professor in the Law department at University of California Berkeley,N/A,N/A,,N/A
Steven Beissinger,Professor in the Environmental Science department at University of California Berkeley,N/A,N/A,,N/A
Robert Ovetz,Professor in the Sociology department at University of California Berkeley,N/A,N/A,,N/A
Peter Haine,Professor in the Mathematics department at University of California Berkeley,N/A,N/A,,N/A
Alan Hubbard,Professor in the Statistics department at University of California Berkeley,N/A,N/A,,N/A
Eaman Jahani,Professor in the Statistics department at University of California Berkeley,2.4,3.4,3,100%
Jean Johnstone,Professor in the Public Policy department at University of California Berkeley,5,2,1,100%
Nathan Levine,Professor in the Languages department at University of California Berkeley,1,5,1,N/A
Zachary Pardos,Professor in the Computer Science department at University of California Berkeley,1,5,2,N/A
Bernadette Perez,Professor in the History department at University of California Berkeley,N/A,N/A,,N/A
Tijana Petrovic,Professor in the Film department at University of California Berkeley,5,1,1,100%
Matteo Riccardi,Professor in the Comparative Literature department at University of California Berkeley,N/A,N/A,,N/A
Pedro Rolon,Professor in the English department at University of California Berkeley,4,2,1,100%
Jessie Salas,"Professor in the Art, Media, & Design department at University of California Berkeley",5,4,1,100%
Guanyu Su,Professor in the Nuclear Engineering department at University of California Berkeley,5,3,1,100%
Timothy Tangherlini,Professor in the Scandinavian department at University of California Berkeley,5,2.6,5,100%
Hendrik Utzat,Professor in the Chemistry department at University of California Berkeley,N/A,N/A,,N/A
Scott Walin,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
Ysis Wilson-Tafter,Professor in the Data Science department at University of California Berkeley,1,2,1,N/A
Tyrone Hayes,Professor in the Biology department at University of California Berkeley,4.8,3.5,25,100%
Thomas Chen,Professor in the Engineering department at University of California Berkeley,1,5,1,N/A
Brittney Cooper,Professor in the Cognitive Science department at University of California Berkeley,N/A,N/A,,N/A
Lincoln Cushing,Professor in the Art History department at University of California Berkeley,5,1,3,100%
Nicolá¡s  Depetris-Chauvin,Professor in the Economics department at University of California Berkeley,N/A,N/A,,N/A
Timmia DeRoy,Professor in the Theatre & Dance department at University of California Berkeley,5,3,1,100%
Tony Drummond,Professor in the Chemistry department at University of California Berkeley,N/A,N/A,,N/A
Leo Dunsker,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
Nilam Faqhir,Professor in the Ethnic Studies department at University of California Berkeley,N/A,N/A,,N/A
Christian Gonzalez Reyes,Professor in the Literature department at University of California Berkeley,N/A,N/A,,N/A
Rangoli Goyal,Professor in the Mathematics department at University of California Berkeley,5,4,1,100%
Lilla  Gyoengyver Balint,Professor in the Physical Education department at University of California Berkeley,N/A,N/A,,N/A
Tory Adkisson,Professor in the English department at University of California Berkeley,5,3,3,100%
Azza Ahmad,Professor in the Near Eastern Studies department at University of California Berkeley,5,2,1,100%
Kenneth Allen,Professor in the Psychology department at University of California Berkeley,1,4,1,N/A
Robert Barrett,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
Jason Wittenberg,Professor in the Political Science department at University of California Berkeley,3,3.6,59,54%
Duncan Macrae,Professor in the Classics department at University of California Berkeley,4.6,2.6,17,100%
Shawn Chi,Professor in the Economics department at University of California Berkeley,4,4,14,100%
Chiyuma  Elliott,Professor in the Ethnic Studies department at University of California Berkeley,5,2,1,100%
Carmen Butcher,Professor in the English department at University of California Berkeley,4,4,22,77%
Edward Frenkel,Professor in the Mathematics department at University of California Berkeley,3.8,2.9,79,64%
Taner Sen,Professor in the Agriculture department at University of California Berkeley,4,4,1,100%
Vinod Aggarwal,Professor in the Political Science department at University of California Berkeley,2.8,4,25,67%
Larry Robinson,Professor in the Art department at University of California Berkeley,N/A,N/A,,N/A
Aya De Leon,Professor in the African-American Studies department at University of California Berkeley,2.6,2.5,12,17%
Aaron McDaniel,Professor in the Business Administration department at University of California Berkeley,3.4,3.8,20,62%
Arnel Sancianco,Professor in the Theatre & Dance department at University of California Berkeley,N/A,N/A,,N/A
Laura Bonicatto,Professor in the German department at University of California Berkeley,5,2.4,8,100%
James Vernon,Professor in the History department at University of California Berkeley,4.3,2.8,23,91%
Kamla Ahluwalia,Professor in the Biology department at University of California Berkeley,N/A,N/A,,N/A
Adityanand Guntuboyina,Professor in the Statistics department at University of California Berkeley,3.1,3.6,4,100%
Kyriakos Komvopoulos,Professor in the Engineering department at University of California Berkeley,1.7,3.6,12,0%
Candace Slater,Professor in the Portuguese department at University of California Berkeley,N/A,N/A,,N/A
K. Peter Vollhardt,Professor in the Chemistry department at University of California Berkeley,3,4,160,63%
Michael Mascuch,Professor in the Rhetoric department at University of California Berkeley,3.9,3.5,16,63%
David Foster,Professor in the Psychology department at University of California Berkeley,3,3.9,12,70%
Wesley Holliday,Professor in the Philosophy department at University of California Berkeley,4.1,3.8,12,100%
Joseph Gonzalez,Professor in the Data Science department at University of California Berkeley,5,3,1,100%
Scott Stephens,Professor in the Environmental Science department at University of California Berkeley,5,1,1,100%
Ala Moradian,Professor in the Mechanical Engineering department at University of California Berkeley,2,1,1,N/A
Daniel Barsky,Professor in the Physics department at University of California Berkeley,5,4.5,2,100%
Monica  Castillejos-Aragon,Professor in the Legal Studies department at University of California Berkeley,N/A,N/A,,N/A
Frederick Vincent,Professor in the African-American Studies department at University of California Berkeley,3.5,1.4,17,100%
Diliana Angelova,Professor in the Art History department at University of California Berkeley,2.1,3.9,9,50%
Ethan Katz,Professor in the History department at University of California Berkeley,4,3.3,10,67%
David Miller,Professor in the Music department at University of California Berkeley,5,2,1,100%
James McHale,Professor in the Psychology department at University of California Berkeley,N/A,N/A,,N/A
Leo Harrington,Professor in the Mathematics department at University of California Berkeley,2.4,3.1,40,N/A
Jane Hammon,Professor in the Writing department at University of California Berkeley,4.6,2.8,8,N/A
Jorge Liderman,Professor in the Music department at University of California Berkeley,3.5,2,1,N/A
Marilyn Fabe,Professor in the Film department at University of California Berkeley,4.3,2.6,22,N/A
Davitt Moroney,Professor in the Music department at University of California Berkeley,4.2,1.9,27,N/A
Jonathan Bachrach,Professor in the Computer Science department at University of California Berkeley,N/A,N/A,,N/A
Bart Grossman,Professor in the Social Welfare department at University of California Berkeley,N/A,N/A,,N/A
Joseph Campos,Professor in the Psychology department at University of California Berkeley,3.9,3.1,16,N/A
George Shanthikumar,Professor in the Engineering department at University of California Berkeley,4.4,1.6,9,N/A
Johan Klehs,Professor in the Political Science department at University of California Berkeley,3.5,3.2,6,N/A
Terry MacHen,Professor in the Biology department at University of California Berkeley,3.4,3.1,35,N/A
JW Morris,Professor in the Engineering department at University of California Berkeley,3.6,2.5,12,N/A
Kristen Luker,Professor in the Sociology department at University of California Berkeley,3.4,1.9,24,N/A
Paul Groth,Professor in the Architecture department at University of California Berkeley,4.4,3.1,20,N/A
Felipe Guitierrez,Professor in the Rhetoric department at University of California Berkeley,N/A,N/A,,N/A
Mel Gordon,Professor in the Theatre & Dance department at University of California Berkeley,3.6,2.4,14,N/A
Arthur Ogus,Professor in the Mathematics department at University of California Berkeley,3.1,4,35,N/A
Daniel Klein,Professor in the Computer Science department at University of California Berkeley,4.6,2.8,8,N/A
Adriana Hernandez-Rodrigue,Professor in the Spanish department at University of California Berkeley,4.3,2.5,2,N/A
David Pieper,Professor in the Geography department at University of California Berkeley,5,1,1,N/A
Tom Laqueur,Professor in the History department at University of California Berkeley,4,2.8,25,100%
Robert Berring,Professor in the Legal Studies department at University of California Berkeley,4.2,1.9,17,N/A
Beverly Crawford,Professor in the Economics department at University of California Berkeley,4.5,3.7,28,N/A
Armen Der Kiureghian,Professor in the Engineering department at University of California Berkeley,3.5,4,5,N/A
Anna Livia Brawn,Professor in the French department at University of California Berkeley,4.2,2.9,12,N/A
Philip Gerard,Professor in the German department at University of California Berkeley,4.5,2.5,2,N/A
Tom Alber,Professor in the Biology department at University of California Berkeley,4,2.9,12,N/A
Francoise Sorgen-Goldschmidt,Professor in the French department at University of California Berkeley,3.8,3.3,4,N/A
Miguel Altieri,Professor in the Environmental Science department at University of California Berkeley,3.3,3.1,10,N/A
Roberto Horowitz,Professor in the Engineering department at University of California Berkeley,3.8,3.3,10,N/A
Midiyanto Midiyanto,Professor in the Music department at University of California Berkeley,4.5,1.3,6,100%
Gary Holland,Professor in the Linguistics department at University of California Berkeley,3,3.7,16,N/A
Brian Staskawicz,Professor in the Biology department at University of California Berkeley,3.5,2.5,9,N/A
Hamid Algar,Professor in the Near Eastern Studies department at University of California Berkeley,3.9,2.5,14,N/A
James Godzik,Professor in the Mathematics department at University of California Berkeley,3.6,1,4,N/A
Tsit-Yuen Lam,Professor in the Mathematics department at University of California Berkeley,3.7,2.6,18,N/A
Rashi Glazer,Professor in the Business Administration department at University of California Berkeley,4.9,3,4,N/A
C. Susheel Bibbs,Professor in the Engineering department at University of California Berkeley,2,2.9,13,N/A
Darry Sragow,Professor in the Political Science department at University of California Berkeley,4.8,1.7,3,100%
Matt Parrott,Professor in the Philosophy department at University of California Berkeley,4.6,3.8,4,N/A
Felipe Rincon,Professor in the Mathematics department at University of California Berkeley,5,2.5,2,N/A
Stephanie Pearson,Professor in the Art History department at University of California Berkeley,4.9,3.2,19,100%
Julie Suh,Professor in the Business Administration department at University of California Berkeley,4.9,1.9,7,N/A
Sophia Rabe-Hesketh,Professor in the Education department at University of California Berkeley,4,2.5,2,N/A
Nathan Ilten,Professor in the Mathematics department at University of California Berkeley,4.1,3.4,7,N/A
Charles Marcil,Professor in the Mechanical Engineering department at University of California Berkeley,5,3,1,N/A
Edmund Egan,Professor in the Economics department at University of California Berkeley,N/A,N/A,,N/A
Enrique Iglesia,Professor in the Chemical Engineering department at University of California Berkeley,4,3.3,3,100%
Elad Alon,Professor in the Electrical Engineering department at University of California Berkeley,5,3.4,5,100%
Michael Nagler,Professor in the Peace & Conflict Studies department at University of California Berkeley,3.8,3.2,15,100%
Jerry Sanders,Professor in the Peace & Conflict Studies department at University of California Berkeley,2.7,3.4,75,N/A
Mike Boots,Professor in the Biology department at University of California Berkeley,4.5,3,2,100%
Heather Haveman,Professor in the Sociology department at University of California Berkeley,2.2,3.1,29,9%
Ian MacCormack,Professor in the East Asian Studies department at University of California Berkeley,5,3,2,100%
Brian Harvey,Professor in the Computer Science department at University of California Berkeley,4.2,3.1,68,N/A
Hannah Ginsborg,Professor in the Philosophy department at University of California Berkeley,3.4,3.3,23,N/A
Lydia Sohn,Professor in the Engineering department at University of California Berkeley,2,3.1,19,100%
Justin Tiwald,Professor in the Philosophy department at University of California Berkeley,5,2,1,N/A
David Kaspar,Professor in the Mathematics department at University of California Berkeley,3.5,4,3,N/A
Barry Eichengreen,Professor in the Economics department at University of California Berkeley,3.6,3.8,26,84%
Jacob Wang,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
Cati de los Rios,Professor in the Education department at University of California Berkeley,5,1,2,100%
William Fithian,Professor in the Statistics department at University of California Berkeley,3,3.3,4,100%
Claudia Albano,Professor in the Social Welfare department at University of California Berkeley,4.8,1.7,6,N/A
David O'Sullivan,Professor in the Geography department at University of California Berkeley,3.5,3,1,N/A
Margaret Dhaemers,Professor in the Architecture department at University of California Berkeley,4.3,2.7,3,N/A
Haw Yang,Professor in the Chemistry department at University of California Berkeley,2.4,4.5,6,N/A
Mark Sawchuk,Professor in the History department at University of California Berkeley,4.6,3.1,8,N/A
Ronald Yeung,Professor in the Mechanical Engineering department at University of California Berkeley,2.9,3.6,7,N/A
Paul Thiem,Professor in the Psychology department at University of California Berkeley,2,1,1,0%
Jacqueline Siapno,Professor in the Near Eastern Studies department at University of California Berkeley,1,4,1,0%
Clelia Donovan,Professor in the Portuguese department at University of California Berkeley,5,2.8,12,100%
Tara Buss,Professor in the Political Science department at University of California Berkeley,N/A,N/A,,N/A
Alex Carstensen,Professor in the Psychology department at University of California Berkeley,3.8,3.3,6,100%
Liz Horberg,Professor in the Psychology department at University of California Berkeley,5,2,1,N/A
Elif Kale-Lostuvali,Professor in the Sociology department at University of California Berkeley,2.7,2.5,11,46%
John Stehlin,Professor in the Geography department at University of California Berkeley,4,2.8,6,75%
Jake Anderson,Professor in the Statistics department at University of California Berkeley,N/A,N/A,,N/A
Maria Paz Gutierrez,Professor in the Architecture department at University of California Berkeley,N/A,N/A,,N/A
Sarah Nina Kelsey,Professor in the Political Science department at University of California Berkeley,2,4.2,6,34%
Alastair Iles,Professor in the Environ. Sci. Policy & Mgmt. department at University of California Berkeley,4.8,3.1,17,100%
Umesh V. Vazirani,Professor in the Computer Science department at University of California Berkeley,3.8,3.5,15,100%
Carolyn Trist,Professor in the Geography department at University of California Berkeley,4.3,2.4,60,87%
Daniel Immerwahr,Professor in the History department at University of California Berkeley,3.4,3.9,14,N/A
Justin Brashares,Professor in the Environmental Science department at University of California Berkeley,4.6,2.6,23,80%
Ariel Shannon,Professor in the Italian department at University of California Berkeley,4.6,2.1,21,91%
Elsa Elmahdy,Professor in the Near Eastern Studies department at University of California Berkeley,5,3.3,7,100%
Jean Ahn,Professor in the Music department at University of California Berkeley,4.5,3,7,100%
Jared Greene,Professor in the Rhetoric department at University of California Berkeley,1.7,4.6,13,N/A
Kyle Livie,Professor in the History department at University of California Berkeley,5,1.7,3,N/A
Maria Vendetti,Professor in the French department at University of California Berkeley,3.8,3,2,N/A
Tony Mirabelli,Professor in the Education department at University of California Berkeley,3.7,1.8,5,N/A
Sharon Stanley,Professor in the Political Science department at University of California Berkeley,3,3,2,N/A
Amy Strage,Professor in the Psychology department at University of California Berkeley,4.8,1.7,3,N/A
John Drabble,Professor in the International Studies department at University of California Berkeley,2.8,3,3,N/A
Gaius Stern,Professor in the Art History department at University of California Berkeley,1.6,3.8,6,N/A
Glenn Richman,Professor in the Music department at University of California Berkeley,2,4,1,N/A
Aleksandra Utiralova,Professor in the Mathematics department at University of California Berkeley,4.8,4,3,100%
Benjamin Hermalin,Professor in the Business Administration department at University of California Berkeley,2.3,2.7,6,N/A
Zachary Judson,Professor in the Mathematics department at University of California Berkeley,4,3,4,N/A
Heather McMichael,Professor in the Spanish department at University of California Berkeley,3,2.5,4,N/A
David Freedman,Professor in the Mathematics department at University of California Berkeley,1.2,4.8,10,N/A
