Title,Course Code,Instructor,Days,Time,Location,Description
Wildland Fires: Science and Applications,MECENG 172,Michael J Gollner,"TU, TH",12:30 pm - 1:59 pm,Etcheverry 3106,"This course presents an introduction to the global problem of wildland fires with an overview of the social, political and environmental issues posed as well as detailed coverage of the science, technology and applications used to predict, prevent and suppress wildland fires. Some specific topics covered will include fire spread theory, risk mapping, research instrumentation, suppression, ignition sources, relevant codes and standards, remote sensing, smoke management, and extreme fire behavior. Engineering analyses in many of these areas, as well as specific coverage of fire protection design in the Wildland-Urban Interface (WUI) will also be covered."
Intermediate Dynamics,MECENG 175,James Casey,"M, W, F",3:00 pm - 3:59 pm,Etcheverry 3107,This course introduces and investigates Lagrange's equations of motion for particles and rigid bodies. The subject matter is particularly relevant to applications comprised of interconnected and constrained discrete mechanical components. The material is illustrated with numerous examples. These range from one-dimensional motion of a single particle to three-dimensional motions of rigid bodies and systems of rigid bodies.
Orthopedic Biomechanics,MECENG C176,Tony M Keaveny,"TU, TH",11:00 am - 12:29 pm,Donner Lab 155,"Statics, dynamics, optimization theory, composite beam theory, beam-on-elastic foundation theory, Hertz contact theory, and materials behavior. Forces and moments acting on human joints; composition and mechanical behavior of orthopedic biomaterials; design/analysis of artificial joint, spine, and fracture fixation prostheses; musculoskeletal tissues including bone, cartilage, tendon, ligament, and muscle; osteoporosis and fracture-risk predication of bones; and bone adaptation. MATLAB-based project to integrate the course material."
Designing for the Human Body,MECENG C178,Grace D O'Connell,"M, W",10:00 am - 11:29 am,Jacobs Hall 310,"The course provides project-based learning experience in understanding product design, with a focus on the human body as a mechanical machine. Students will learn the design of external devices used to aid or protect the body. Topics will include forces acting on internal materials (e.g., muscles and total replacement devices), forces acting on external materials (e.g., prothetics and crash pads), design/analysis of devices aimed to improve or fix the human body, muscle adaptation, and soft tissue injury. Weekly laboratory projects will incorporate EMG sensing, force plate analysis, and interpretation of data collection (e.g., MATLAB analysis) to integrate course material to better understand contemporary design/analysis/problems."
Introduction to Continuum Mechanics,MECENG 185,David John Steigmann,"TU, TH",12:30 pm - 1:59 pm,Etcheverry 3107,"This course is a general introduction to the fundamental concepts of the mechanics of continuous media. Topics covered include the kinematics of deformation, the concept of stress, and the conservation laws for mass, momentum and energy. This is followed by an introduction to constitutive theory with applications to well-established models for viscous fluids and elastic solids. The concepts are illustrated through the solution of tractable initial-boundary-value problems. This course presents foundation-level coverage of theory underlying a number of sub-fields, including Fluid Mechanics, Solid Mechanics and Heat Transfer."
Directed Group Studies for Advanced Undergraduates,MECENG 198,N/A,TU,7:00 pm - 8:59 pm,,Group study of a selected topic or topics in Mechanical Engineering. Credit for 198 or 199 courses combined may not exceed 4 units in any single term. See College for other restrictions.
Directed Group Studies for Advanced Undergraduates,MECENG 198,N/A,TU,5:00 pm - 6:29 pm,,Group study of a selected topic or topics in Mechanical Engineering. Credit for 198 or 199 courses combined may not exceed 4 units in any single term. See College for other restrictions.
Directed Group Studies for Advanced Undergraduates,MECENG 198,N/A,"TU, TH",8:00 pm - 8:59 pm,,Group study of a selected topic or topics in Mechanical Engineering. Credit for 198 or 199 courses combined may not exceed 4 units in any single term. See College for other restrictions.
Supervised Independent Study,MECENG 199,Kosa Kendall Goucher-Lambert,,,,Supervised independent study. Enrollment restrictions apply; see the introduction to Courses and Curricula section of this catalog.
Supervised Independent Study,MECENG 199,N/A,,,,Supervised independent study. Enrollment restrictions apply; see the introduction to Courses and Curricula section of this catalog.
Supervised Independent Study,MECENG 199,Hannah Stuart,,,,Supervised independent study. Enrollment restrictions apply; see the introduction to Courses and Curricula section of this catalog.
Modeling and Simulation of Advanced Manufacturing Processes,MECENG C201,N/A,"TU, TH",5:00 pm - 6:29 pm,Etcheverry 3108,"This course provides the student with a modern introduction to the basic industrial practices, modeling techniques, theoretical background, and computational methods to treat classical and cutting edge manufacturing processes in a coherent and self-consistent manner."
Introduction to Robotics,MECENG 206A,Roberto Horowitz,"TU, TH",2:00 pm - 3:29 pm,Dwinelle 145,"This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course deals with forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, and control. It presents elementary principles on proximity, tactile, and force sensing, vision sensors, camera calibration, stereo construction, and motion detection. The course concludes with current applications of robotics in active perception, medical robotics, autonomous vehicles, and other areas."
Advanced Orthopedic Biomechanics,MECENG C210,Tony M Keaveny,"TU, TH",11:00 am - 12:29 pm,Donner Lab 155,"Students will learn the application of engineering concepts including statics, dynamics, optimization theory, composite beam theory, beam-on-elastic foundation theory, Hertz contact theory, and materials behavior. Topics will include forces and moments acting on human joints; composition and mechanical behavior of orthopedic biomaterials; design/analysis of artificial joint, spine, and fracture fixation prostheses; musculoskeletal tissues including bone, cartilage, tendon, ligament, and muscle; osteoporosis and fracture-risk predication of bones; and bone adaptation. Students will be challenged in a MATLAB-based project to integrate the course material in an attempt to gain insight into contemporary design/analysis/problems."
Advanced Structural Aspects of Biomaterials,MECENG C215,Lisa Pruitt,"TU, TH",12:30 pm - 1:59 pm,Internet/Online,"This course covers the structure and mechanical functions of load bearing tissues and their replacements. Biocompatibility of biomaterials and host response to structural implants are examined. Quantitative treatment of biomechanical issues and constitutive relationships of materials are covered in order to design implants for structural function. Material selection for load bearing applications including reconstructive surgery, orthopedics, dentistry, and cardiology are addressed."
Introduction to Microelectromechanical Systems,MECENG 219,Liwei Lin,"TU, TH",12:30 pm - 1:59 pm,Etcheverry 3108,"Fundamentals of microelectromechanical systems including design, fabrication of microstructures; surface micromachining, bulk-micromachining, LIGA, and other micro machining processes; fabrication principles of integrated circuit device and their applications for making MEMS devices; high-aspect-ratio microstructures; scaling issues in the micro scale (heat transfer, fluid mechanics and solid mechanics); device design, analysis, and mask layout."
Tribology,MECENG 226,Kyriakos Komvopoulos,"TU, TH",3:30 pm - 4:59 pm,Etcheverry 3117B,"Surface interactions. Fundamentals of contact mechanics. Friction theories. Types of measurement of wear. Response of materials to surface tractions. Plastic deformation, void/crack nucleation and crack propagation. Delamination wear. Microstructural effects in wear processes. Mechanics of layered media. Solid film and boundary liquid film lubrication. Friction and wear of polymers and fiber-reinforced polymeric composites. Brief introduction to metal cutting and tool wear mechanisms."
The Science and Engineering of Cooking,MECENG 226L,Lydia L Sohn,"TU, TH",3:30 pm - 4:59 pm,Jacobs Hall 310,"This course will discuss concepts from the physical sciences and engineering (e.g. heat and mass transfer, phase transitions, fluid mechanics, etc.) that serve as a foundation for everyday cooking and haute cuisine. The course will integrate the expertise of visiting chefs from the Bay Area (and beyond) who will serve as guest lecturers and present their cooking techniques. These unique opportunities will be complemented by lectures that investigate in-depth the science and engineering that underlie these techniques."
Experiential Advanced Control Design I,MECENG C231A,Charlott Sophie Vallon,"TU, TH",9:30 am - 10:59 am,Hearst Mining 390,"Experience-based learning in the design of SISO and MIMO feedback controllers for linear systems. The student will master skills needed to apply linear control design and analysis tools to classical and modern control problems. In particular, the participant will be exposed to and develop expertise in two key control design technologies: frequency-domain control synthesis and time-domain optimization-based approach."
Advanced Control Systems I,MECENG C232,Masayoshi Tomizuka,"TU, TH",11:00 am - 12:29 pm,Etcheverry 3106,"Input-output and state space representation of linear continuous and discrete time dynamic systems. Controllability, observability, and stability. Modeling and identification. Design and analysis of single and multi-variable feedback control systems in transform and time domain. State observer. Feedforward/preview control. Application to engineering systems."
Software laboratory: Dynamics and Control of Autonomous Flight,MECENG 236SL,N/A,W,2:00 pm - 4:59 pm,Etcheverry 1109,"This course complements MEC ENG 236U, Introduction to Control of Unmanned Aerial Vehicles. The aim is to provide (virtual) laboratory experiments corresponding to the theory provided in ME236U. Students may work alone or in teams."
Dynamics and Control of Autonomous Flight,MECENG 236U,Mark Wilfried Mueller,"TU, TH",9:30 am - 10:59 am,Cory 277,"This course is a room share with ME136, and teaches students the dynamic analysis and control of uninhabited aerial vehicles (UAVs). The course covers modeling and dynamics of aerial vehicles, common control strategies, sensing and estimation. A laboratory sequence allows students to apply knowledge on a real quadcopter system, by programming a microcontroller to control a UAV."
Robotic Locomotion,MECENG 239,Homayoon Kazerooni,"M, W",5:00 pm - 6:29 pm,Mulford 159,"This course will provide students with a solid understanding of robotic locomotion and the use of dynamics, control and embedded microcomputers in designing artificial legs such as prosthetics, orthotics and exoskeletons."
Ocean-Environment Fluid Mechanics,MECENG 242,Simo Aleksi Makiharju,"TU, TH",11:00 am - 12:29 pm,Etcheverry 1165,"Viscous-fluid flow, boundary-layer theory surface waves, ship waves, and applications. Ocean environment. Physical properties and characteristics of the oceans. Global conservation laws. Surface-waves generation. Gravity-wave mechanics, kinematics, and dynamics. Design consideration of ocean vehicles and systems. Model-testing techniques. Prediction of resistance and response in waves--physical modeling and computer models."
Oceanic and Atmospheric Waves,MECENG 245,Mohammad-reza Alam,"TU, TH",9:30 am - 10:59 am,Etcheverry 3117B,"Covers dynamics of wave propagation in the ocean and the atmosphere. Specifically, formulation and properties of waves over the surface of a homogenous fluid, interfacial waves in a two-/multi-layer density stratified fluid, and internal waves in a continuous stratification will be discussed."
Machine Learning Tools for Modeling Energy Transport and Conversion Processes,MECENG 249,Van P Carey,"TU, TH",8:00 am - 9:29 am,Morgan 101,"This course teaches students how machine learning tools work and their effective use in energy related research and technology development. This course first covers basic probability, linear algebra concepts, and foundation mathematics principles used in machine learning tools. Python programming will be used in class projects. Students will construct a genetic algorithm and a neural network model from scratch to explore basic features of these tools, and will then use Python neural network programming tools to develop models for energy conversion and energy transport process applications. Students will explore different machine learning methods in 3 assigned projects and can construct a final project in an application of interest to them."
Advanced Thermophysics for Applications,MECENG 254,Michael Y Frenklach,"TU, TH",11:00 am - 12:29 pm,Hearst Mining 310,"Development of classical thermodynamics from statistical treatment of microscale molecular behavior; Boltzmann distribution; partition functions; statistical-mechanical evaluation of thermodynamic properties; equilibrium; chemical equilibrium; phase transitions; molecular collisions; Maxwell-Boltzmann distribution; collision theory; elementary kinetic theory; molecular dynamics simulation of molecular collisions; kinetic Monte Carlo simulations of gas-phase and gas-surface reactions. Implications are explored for a variety of applications, which may include advanced combustion systems, renewable power systems, microscale transport in high heat flux electronics cooling, aerospace thermal management, and advanced materials processing."
Advanced Fluid Mechanics I,MECENG 260A,Alexis Kaminski,"TU, TH",2:00 pm - 3:29 pm,Etcheverry 1165,Introduces the foundations of fluid mechanics. Exact flow solutions are used to develop a physical insight of the fluid flow phenomena. Rigorous derivation of the equations of motion. Incompressible and compressible potential flows. Canonical viscous flows.
Intermediate Dynamics,MECENG 271,James Casey,"M, W, F",3:00 pm - 3:59 pm,Etcheverry 3107,This course introduces and investigates Lagrange's equations of motion for particles and rigid bodies. The subject matter is particularly relevant to applications comprised of interconnected and constrained discrete mechanical components. The material is illustrated with numerous examples. These range from one-dimensional motion of a single particle to three-dimensional motions of rigid bodies and systems of rigid bodies.
Wildland Fires: Science and Applications,MECENG 272,Michael J Gollner,"TU, TH",12:30 pm - 1:59 pm,Etcheverry 3106,"This course presents an introduction to the global problem of wildland fires with an overview of the social, political and environmental issues posed as well as detailed coverage of the science, technology and applications used to predict, prevent and suppress wildland fires. Some specific topics covered will include fire spread theory, risk mapping, research instrumentation, suppression, ignition sources, relevant codes and standards, remote sensing, smoke management, and extreme fire behavior. Engineering analyses in many of these areas, as well as specific coverage of fire protection design in the Wildland-Urban Interface (WUI) will also be covered."
Statistics and Data Science for Engineers,MECENG 276DS,Gabriel Gomes,"TU, TH",3:30 pm - 4:59 pm,Hearst Field Annex A1,"This course provides a foundation in data science with emphasis on the application of statistics and machine learning to engineering problems. The course combines theoretical topics in probability and statistical inference with practical methods for solving problems in code. Each topic is demonstrated with examples from engineering. These include hypothesis testing, principal component analysis, clustering, linear regression, time series analysis, classification, and deep learning. Math 53 and 54 are recommended before Engin 178, Math 53 and 54 are allowed concurrently."
Adv Designing for the Human Body,MECENG C278,Grace D O'Connell,"M, W",10:00 am - 11:29 am,Jacobs Hall 310,"The course provides project-based learning experience in understanding product design, with a focus on the human body as a mechanical machine. Students will learn the design of external devices used to aid or protect the body. Topics will include forces acting on internal materials (e.g., muscles and total replacement devices), forces acting on external materials (e.g., prothetics and crash pads), design/analysis of devices aimed to improve or fix the human body, muscle adaptation, and soft tissue injury. Weekly laboratory projects will incorporate EMG sensing, force plate analysis, and interpretation of data collection (e.g., MATLAB analysis) to integrate course material to better understand contemporary design/analysis/problems."
Introduction to the Finite Element Method,MECENG 280A,Shawn C Shadden,M,2:00 pm - 4:59 pm,GSPP 150,Weighted-residual and variational methods of approximation. Canonical construction of finite element spaces. Formulation of element and global state equations. Applications to linear partial differential equations of interest in engineering and applied science.
Methods of Tensor Calculus and Differential Geometry,MECENG 281,Panayiotis Papadopoulos,"M, W",9:30 am - 10:59 am,Etcheverry 1165,"Methods of tensor calculus and classical differential geometry. The tensor concept and the calculus of tensors, the Riemann-Christoffel tensor and its properties, Riemannian and Euclidean spaces. Geometry of a surface, formulas of Weingarten, and equations of Gauss and Codazzi."
Theory of Plasticity,MECENG 286,David John Steigmann,"TU, TH",2:00 pm - 3:29 pm,Etcheverry 3117B,Formulation of the theory of plasticity relative to loading surfaces in both strain space and stress space and associated loading criteria. Nonlinear constitutive equations for finitely deformed elastic-plastic materials. Discussion of strain-hardening and special cases. Applications.
Graduate Introduction to Continuum Mechanics,MECENG 287,David John Steigmann,"TU, TH",12:30 pm - 1:59 pm,Etcheverry 3107,"This course is a general introduction to the fundamental concepts of the mechanics of continuous media. Topics covered include the kinematics of deformation, the concept of stress, and the conservation laws for mass, momentum and energy. This is followed by an introduction to constitutive theory with applications to well-established models for viscous fluids and elastic solids. The concepts are illustrated through the solution of tractable initial-boundary-value problems. This course presents foundation-level coverage of theory underlying a number of sub-fields, including Fluid Mechanics, Solid Mechanics and Heat Transfer."
Topics in Fluid Mechanics,MECENG 290C,Omer Savas,"TU, TH",3:30 pm - 4:59 pm,Etcheverry 1165,"Lectures on special topics which will be announced at the beginning of each semester that the course is offered. Topics may include transport and mixing, geophysical fluid dynamics, biofluid dynamics, oceanography, free surface flows, non-Newtonian fluid mechanics, among other possibilities."
Advanced Special Topics in Controls: Modeling and Control of Multi-Agent Systems,MECENG 292B,Negar Mehr,"TU, TH",2:00 pm - 3:29 pm,Moffitt Library 103,N/A
Advanced Special Topics in Controls,MECENG 292B,Murat Arcak,"TU, TH",11:00 am - 12:29 pm,Cory 540AB,This series covers current topics of research interest in controls. The course content may vary semester to semester. Check with the department for current term topics.
Advanced Special Topics in Mechanics: Introduction to Flight Mechanics,MECENG 292I,Thomas Lombaerts,"M, W",5:00 pm - 6:29 pm,Cory 277,This series covers current topics of research interest in mechanics. The course content may vary semester to semester. Check with the department for current term topics.
"Group Studies, Seminars, or Group Research",MECENG 298,Alice M Agogino,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Mohammad-reza Alam,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Francesco Borrelli,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Van P Carey,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,James Casey,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Jyh-Yuan Chen,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Christopher Eric Dames,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Carlos Fernandez-Pello,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Michael Y Frenklach,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Costas P. Grigoropoulos,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Roberto Horowitz,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,George C Johnson,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Homayoon Kazerooni,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Tony M Keaveny,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Kyriakos Komvopoulos,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Dennis Kenmon Lieu,M,5:00 pm - 5:59 pm,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Liwei Lin,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Fai Ma,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Simo Aleksi Makiharju,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Philip S Marcus,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Sara McMains,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Mohammad Reza Kaazem Pur Mofrad,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Stephen Morris,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Mark Wilfried Mueller,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Grace D O'Connell,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Oliver M O'Reilly,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Andrew K Packard,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Panayiotis Papadopoulos,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Kameshwar Poolla,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Lisa Pruitt,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Omer Savas,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Shawn C Shadden,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Lydia L Sohn,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,David John Steigmann,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Andrew J Szeri,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Hayden Taylor,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Masayoshi Tomizuka,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Paul K Wright,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Kazuo Yamazaki,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Somayeh Sojoudi,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Xiang Zhang,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Tarek I Zohdi,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,David M Auslander,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,David B Bogy,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Ralph Greif,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Robert W Dibble,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Boris Rubinsky,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Samuel Mao,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Koushil Sreenath,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Robert O Ritchie,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Ronald W Yeung,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,David A Horsley,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Grace X. Gu,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Hannah Stuart,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Kosa Kendall Goucher-Lambert,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Murat Arcak,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Vassilia Zorba,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Michael J Gollner,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Ravi Shankar Prasher,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
"Group Studies, Seminars, or Group Research",MECENG 298,Alexis Kaminski,,,,"Advanced studies in various subjects through special seminars on topics to be selected each year. Informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
